FOD_ID,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,STAT_CAUSE_DESCR,FIRE_SIZE,lon,lat
201641486,2012,2012-02-15T00:00:00+00:00,46,Debris Burning,1.0,-78.00333332999998,37.85111111000003
201641487,2012,2012-03-13T00:00:00+00:00,73,Equipment Use,5.0,-78.09868582999997,37.78523278000006
201641488,2012,2012-03-13T00:00:00+00:00,73,Equipment Use,0.5,-78.12333332999998,37.80166667000003
201641489,2012,2012-03-19T00:00:00+00:00,79,Arson,10.0,-77.99138888999994,37.786666670000045
201641490,2012,2012-03-26T00:00:00+00:00,86,Debris Burning,6.0,-77.98749999999995,37.79277778000005
201641491,2012,2012-04-15T00:00:00+00:00,106,Children,6.0,-78.09222221999994,37.80472222000003
201641492,2012,2012-02-26T00:00:00+00:00,57,Debris Burning,1.0,-80.12036110999998,36.61938889000004
201641493,2012,2012-04-14T00:00:00+00:00,105,Arson,1.5,-80.97072221999997,36.66833333000005
201641494,2012,2012-04-16T00:00:00+00:00,107,Arson,1.0,-80.97155555999996,36.66833333000005
201641495,2012,2012-04-16T00:00:00+00:00,107,Debris Burning,0.1,-81.14138888999997,36.62416667000008
201641496,2012,2012-01-31T00:00:00+00:00,31,Debris Burning,0.5,-78.40149999999994,38.251222220000045
201641497,2012,2012-02-07T00:00:00+00:00,38,Debris Burning,0.5,-78.36636110999996,38.20872222000003
201641498,2012,2012-03-15T00:00:00+00:00,75,Children,0.1,-78.44027777999997,38.31583333000003
201641499,2012,2012-03-28T00:00:00+00:00,88,Lightning,0.1,-78.45388888999997,38.365555560000075
201641500,2012,2012-04-07T00:00:00+00:00,98,Debris Burning,0.3,-78.51424999999995,38.267805560000056
201641501,2012,2012-11-11T00:00:00+00:00,316,Miscellaneous,2.0,-78.46722221999994,38.36944444000005
201641602,2012,2012-01-06T00:00:00+00:00,6,Arson,0.2,-78.87722221999996,36.96027778000007
201641603,2012,2012-01-30T00:00:00+00:00,30,Debris Burning,1.0,-78.96388888999996,36.75888889000004
201641604,2012,2012-02-13T00:00:00+00:00,44,Debris Burning,1.0,-79.01888888999997,36.80194444000006
201641605,2012,2012-02-14T00:00:00+00:00,45,Debris Burning,2.0,-78.77222221999995,36.67500000000007
201641606,2012,2012-02-18T00:00:00+00:00,49,Debris Burning,0.5,-78.98388888999995,36.71750000000003
201641607,2012,2012-03-04T00:00:00+00:00,64,Lightning,0.3,-79.01722221999995,36.78833333000006
201641608,2012,2012-03-06T00:00:00+00:00,66,Equipment Use,0.5,-79.02999999999997,36.736111110000024
201641609,2012,2012-04-03T00:00:00+00:00,94,Equipment Use,1.0,-79.07388888999998,36.58527778000007
201641611,2012,2012-04-09T00:00:00+00:00,100,Miscellaneous,1.0,-78.90527777999995,36.678333330000044
201641612,2012,2012-04-07T00:00:00+00:00,98,Debris Burning,0.3,-79.08249999999998,37.03250000000003
201641613,2012,2012-04-14T00:00:00+00:00,105,Debris Burning,0.2,-79.18722221999997,36.55750000000006
201641614,2012,2012-05-05T00:00:00+00:00,126,Children,0.1,-78.73222221999998,36.828611110000054
201641615,2012,2012-06-30T00:00:00+00:00,182,Lightning,0.5,-78.98638888999994,36.710555560000046
201641616,2012,2012-07-01T00:00:00+00:00,183,Lightning,0.5,-79.11694443999994,36.93500000000006
201641618,2012,2012-07-31T00:00:00+00:00,213,Debris Burning,0.5,-78.96689443999998,36.82777500000003
201641619,2012,2012-08-01T00:00:00+00:00,214,Lightning,1.0,-78.81305555999995,36.79111111000003
201641620,2012,2012-09-08T00:00:00+00:00,252,Debris Burning,12.0,-78.77847221999997,36.91991667000008
201641621,2012,2012-10-27T00:00:00+00:00,301,Miscellaneous,1.5,-78.92777777999999,36.95305556000005
201641622,2012,2012-11-10T00:00:00+00:00,315,Miscellaneous,4.0,-79.14388888999997,36.574444440000036
201641623,2012,2012-11-08T00:00:00+00:00,313,Miscellaneous,3.0,-78.75261110999998,36.97037500000005
201641624,2012,2012-11-23T00:00:00+00:00,328,Campfire,2.0,-79.10499999999996,36.98361111000003
201641626,2012,2012-03-08T00:00:00+00:00,68,Debris Burning,0.5,-77.64483138999998,37.86664361000004
201641628,2012,2012-04-04T00:00:00+00:00,95,Miscellaneous,2.5,-77.46498166999999,37.82526694000006
